sample_key,dataset,id,tts_system,voice,case_type,is_boundary,boundary_type,target_emotion,text,audio_path,wer,cer,acoustic_sanity_score_0_1,prosody_activity_0_1,f0_std_semitones,f0_range_semitones_p90_p10,energy_cv,silence_ratio,asr_transcript,main_metric_0_1,emotion_component_0_1,e2v_top_label,e2v_top_prob,e2v_target_prob,e2v_target_match,e2v_entropy_norm,e2v_prob_angry,e2v_prob_disgusted,e2v_prob_fearful,e2v_prob_happy,e2v_prob_neutral,e2v_prob_other,e2v_prob_sad,e2v_prob_surprised,e2v_prob_unknown,superb_top_label,superb_top_prob,superb_target_prob,superb_target_match,superb_entropy_norm,vad_arousal,vad_dominance,vad_valence,intensity,description,model,generation_seed,generation_temperature,generation_do_sample,sample_rate,audio_duration_sec,asr_model,word_substitutions,word_deletions,word_insertions,reference_words,word_diff,asr_audio_duration_sec,speech_rate_wps,speech_rate_abs_delta_2_5,rms,peak_abs,acoustic_sanity_penalty,naturalness_proxy_1_5,naturalness_penalty,nat_duration_sec,nat_rms_dbfs,nat_peak_abs,nat_clipping_ratio,nat_silence_ratio,nat_spectral_flatness,emotion_model,emotion_top_label,emotion_top_prob,emotion_entropy,target_emotion_normalized,target_emotion_prob,target_emotion_match,emotion_prob_neutral,emotion_prob_happy,emotion_prob_angry,emotion_prob_sad,style_duration_sec,f0_mean_hz,f0_std_hz,f0_range_hz,f0_median_hz,f0_mad_semitones,voiced_ratio,style_silence_ratio
boundary_metric_v1::digits_address,boundary_metric_v1,digits_address,parler,Jenna,asr_normalization,1,,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",experiments\boundary_metric_v1\generated\parler_boundary\digits_address.wav,0.00000000,0.00000000,1.000000,0.736143,4.444855,11.093388,0.781618,0.16007533,The access code is a 17B9 and the address is 405 North Lake Drive.,0.968857,0.919919,neutral,1.0,1.0,1,3.968317910705232e-12,5.3613556872051174e-14,1.5833355007755325e-15,2.685187351722534e-16,5.062136216389852e-14,1.0,2.8063871785627837e-16,1.817667788202651e-13,2.6648323982582725e-14,7.789553210966961e-16,neutral,0.9199190139770508,0.9199190139770508,1,0.2205853477925464,0.42206600308418274,0.5039188861846924,0.6375743746757507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boundary_metric_v1::angry_text_neutral_voice,boundary_metric_v1,angry_text_neutral_voice,parler,Jenna,lexical_voice_conflict,1,,neutral,"I told you this was unacceptable, and I am extremely frustrated.",experiments\boundary_metric_v1\generated\parler_boundary\angry_text_neutral_voice.wav,0.00000000,0.00000000,1.000000,0.792187,5.950917,12.156674,0.831952,0.12051282,I told you this was unacceptable and I am extremely frustrated.,0.905351,0.756618,neutral,1.0,1.0,1,2.4250303887884616e-10,2.31981946673121e-12,1.7925244621963543e-13,4.363567815998497e-14,3.691777352571313e-12,1.0,1.8006998886779813e-14,1.3449621624750385e-11,9.864622139976742e-13,1.0553476902054257e-13,neutral,0.756617546081543,0.756617546081543,1,0.44069072191281,0.42037779092788696,0.5566269159317017,0.2341865748167038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boundary_metric_v1::robotic_monotone,boundary_metric_v1,robotic_monotone,parler,Jenna,acoustic_quality_trap,1,,neutral,The system completed the update and stored the final log in the archive.,experiments\boundary_metric_v1\generated\parler_boundary\robotic_monotone.wav,0.07692308,0.08474576,1.000000,0.744345,4.706292,7.633684,0.776099,0.15508021,The system completed the OP and stored the final log in the archive.,0.895373,0.851837,neutral,1.0,1.0,1,6.1888576205703345e-12,8.528146586269866e-14,3.200708173503532e-15,5.317000510460614e-16,1.0941880810699106e-13,1.0,5.751834403054266e-16,2.4629893935999847e-13,4.470174705113565e-14,2.1307001556316414e-15,neutral,0.851837158203125,0.851837158203125,1,0.3744944038119038,0.3823792338371277,0.49006834626197815,0.5527869462966919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boundary_metric_v1::distant_reverb_neutral,boundary_metric_v1,distant_reverb_neutral,parler,Jenna,acoustic_quality_trap,1,,neutral,"Please open the settings menu, choose account preferences, and confirm the update.",experiments\boundary_metric_v1\generated\parler_boundary\distant_reverb_neutral.wav,0.08333333,0.07352941,0.998939,0.721494,3.526913,7.100638,0.905291,0.20851064,"Please open the settings menu, choose account preferences, and confirm the line.",0.883759,0.832046,neutral,1.0,1.0,1,3.2386503714429043e-10,3.45496548037616e-12,2.561753706300379e-13,6.842397200050587e-14,5.1728148674212715e-12,1.0,2.3772636962259008e-14,1.7834990428955422e-11,1.1553606378902903e-12,1.1574400292369003e-13,neutral,0.8320460319519043,0.8320460319519043,1,0.4200739822200837,0.35774144530296326,0.4840393662452698,0.5741935968399048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boundary_metric_v1::control_neutral_neutral,boundary_metric_v1,control_neutral_neutral,parler,Jenna,control,0,,neutral,"The meeting starts at nine thirty, and the report is saved in the project folder.",experiments\boundary_metric_v1\generated\parler_boundary\control_neutral_neutral.wav,0.07142857,0.01724138,1.000000,0.766453,4.752899,11.293276,0.870611,0.20135747,The meeting starts at 9.30 and the report is saved in the project folder.,0.876718,0.795235,neutral,1.0,1.0,1,7.528362930192645e-12,1.014227154409568e-13,3.333063000742647e-15,5.997365431661646e-16,1.0761748073630575e-13,1.0,6.175126412950394e-16,3.3904273160668963e-13,4.384324188964374e-14,2.180512680952009e-15,neutral,0.7952349781990051,0.7952349781990051,1,0.48449901984822163,0.4388173222541809,0.5394300818443298,0.5625323057174683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boundary_metric_v1::noisy_neutral,boundary_metric_v1,noisy_neutral,parler,Jenna,acoustic_quality_trap,1,,neutral,The package arrived at the front desk at three fifteen in the afternoon.,experiments\boundary_metric_v1\generated\parler_boundary\noisy_neutral.wav,0.08333333,0.02000000,1.000000,0.733051,4.410404,10.082635,0.773965,0.13623978,The package arrived at the front desk at 3.15 in the afternoon.,0.868780,0.793530,neutral,1.0,1.0,1,1.9383608323129696e-11,2.4796663203666136e-13,7.846997926658564e-15,1.589665907385956e-15,3.260529595882494e-13,1.0,9.36525578021743e-16,8.646619661586974e-13,8.756701825240673e-14,4.766821906274608e-15,neutral,0.7935299873352051,0.7935299873352051,1,0.4156778766613496,0.27389949560165405,0.39531344175338745,0.5088871717453003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boundary_metric_v1::homophones_minimal_pairs,boundary_metric_v1,homophones_minimal_pairs,parler,Jenna,asr_normalization,1,,neutral,"Please write the right word, then read the red label and lead the team forward.",experiments\boundary_metric_v1\generated\parler_boundary\homophones_minimal_pairs.wav,0.06666667,0.03174603,1.000000,0.662124,3.301071,8.949798,0.695518,0.15659341,Please write the right word then read the red label and leave the team forward.,0.861525,0.748683,neutral,1.0,1.0,1,6.683966192197327e-08,6.180589373627754e-10,3.1176869419446973e-10,4.706572284685073e-11,2.5121285052165376e-09,1.0,9.205043671745017e-11,3.1718383475265455e-09,8.1690716691174e-11,4.640531015009941e-10,neutral,0.7486833930015564,0.7486833930015564,1,0.46170638514741447,0.44007715582847595,0.5216817259788513,0.6394949555397034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boundary_metric_v1::exaggerated_happy,boundary_metric_v1,exaggerated_happy,parler,Jenna,style_quality_trap,1,,happy,"That was amazing, wonderful, and unbelievably exciting for everyone here.",experiments\boundary_metric_v1\generated\parler_boundary\exaggerated_happy.wav,0.00000000,0.00000000,1.000000,0.651866,2.926546,5.136930,0.742115,0.12010444,"That was amazing, wonderful, and unbelievably exciting for everyone here.",0.803876,0.495681,happy,0.9996594190597534,0.9996594190597534,1,0.0014690601114060117,9.580848825407884e-08,7.440762033184001e-07,2.7993869480269495e-06,0.9996594190597534,8.307426469400525e-06,3.9472956814279314e-07,0.00029679154977202415,3.055134811802418e-08,3.1367722840514034e-05,happy,0.49568071961402893,0.49568071961402893,1,0.6569435589921644,0.5755308866500854,0.6757216453552246,0.8750931620597839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boundary_metric_v1::control_angry_angry,boundary_metric_v1,control_angry_angry,parler,Jenna,control,0,,angry,"This delay is unacceptable, and I need you to fix the problem right now.",experiments\boundary_metric_v1\generated\parler_boundary\control_angry_angry.wav,0.00000000,0.00000000,1.000000,0.788443,4.785176,9.067246,0.983540,0.21000000,This delay is unacceptable and I need you to fix the problem right now.,0.747609,0.350994,neutral,0.9942985773086548,2.394957118667662e-05,0,0.01675989657243197,2.394957118667662e-05,3.901338914147345e-06,4.99623138239258e-06,0.0003065068449359387,0.9942985773086548,1.2139401405875105e-05,0.005322200246155262,3.4129959658457665e-07,2.7330617740517482e-05,angry,0.3509940207004547,0.3509940207004547,1,0.8118203021034931,0.48742955923080444,0.590933084487915,0.3982935845851898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boundary_metric_v1::technical_acronyms,boundary_metric_v1,technical_acronyms,parler,Jenna,asr_normalization,1,,neutral,"The GPU loads JSON from SQL, then sends HTTPS requests to the API.",experiments\boundary_metric_v1\generated\parler_boundary\technical_acronyms.wav,0.38461538,0.51923077,1.000000,0.724991,3.970996,10.175963,0.818530,0.12149533,"the pocha loads jump from dropping, then sends twice requests to the charter.",0.720737,0.886291,neutral,0.9696047306060791,0.9696047306060791,1,0.06371989749228837,4.943804378854111e-05,8.73579629114829e-05,0.00030029230401851237,3.92081965401303e-05,0.9696047306060791,2.8525742891361006e-05,0.02978716976940632,8.363485903828405e-06,9.496183338342234e-05,neutral,0.8862913250923157,0.8862913250923157,1,0.3320016378236885,0.3621900677680969,0.4596477448940277,0.42417141795158386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boundary_metric_v1::control_happy_happy,boundary_metric_v1,control_happy_happy,parler,Jenna,control,0,,happy,"I just got the best news today, and I cannot stop smiling.",experiments\boundary_metric_v1\generated\parler_boundary\control_happy_happy.wav,0.00000000,0.00000000,1.000000,0.785590,5.161832,11.461749,0.901445,0.24338624,I just got the best news today and I cannot stop smiling.,0.651544,0.103971,neutral,1.0,1.5474515766000785e-11,0,6.313803167028267e-10,6.2908593265187385e-12,3.877909278415803e-13,1.5118079856567268e-13,1.5474515766000785e-11,1.0,3.3367158726793286e-14,3.185993135979004e-11,1.7594546696322877e-12,2.3025556613286147e-13,neutral,0.47049659490585327,0.1039707213640213,0,0.7147376065873389,0.5363913774490356,0.6307379603385925,0.5097680687904358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boundary_metric_v1::happy_text_sad_voice,boundary_metric_v1,happy_text_sad_voice,parler,Jenna,lexical_voice_conflict,1,,sad,"This is wonderful news, and everyone should be smiling today.",experiments\boundary_metric_v1\generated\parler_boundary\happy_text_sad_voice.wav,0.00000000,0.00000000,1.000000,0.747598,4.069354,9.202975,0.908329,0.17401961,This is wonderful news and everyone should be smiling today.,0.618956,0.020172,happy,0.9999997615814209,2.2848483638426842e-07,0,1.7504923355069228e-06,6.244238459629514e-11,8.801577244810233e-10,5.861001128870669e-10,0.9999997615814209,3.5054976699200324e-09,7.82186329595369e-11,2.2848483638426842e-07,3.1140606759905154e-10,2.1091858815047715e-10,happy,0.9536622762680054,0.02017217129468918,0,0.16387846072025936,0.4134574830532074,0.5585883259773254,0.7697798609733582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boundary_metric_v1::control_sad_sad,boundary_metric_v1,control_sad_sad,parler,Jenna,control,0,,sad,"I miss the quiet mornings we used to share, and the room feels empty now.",experiments\boundary_metric_v1\generated\parler_boundary\control_sad_sad.wav,0.00000000,0.00000000,1.000000,0.783611,4.953484,10.337762,0.925057,0.19829424,I miss the quiet mornings we used to share and the room feels empty now.,0.612101,0.002545,neutral,1.0,4.0623232555603295e-10,0,5.303001149174444e-09,4.046583901295975e-11,2.7731367549521657e-12,1.5005847042379172e-12,5.885128495641823e-11,1.0,1.3589524199952158e-13,4.0623232555603295e-10,1.5404105074834362e-11,3.9429841770105556e-13,happy,0.9801815152168274,0.0025448701344430447,0,0.07937520629897926,0.3337583541870117,0.439831018447876,0.47169584035873413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boundary_metric_v1::whisper_sad,boundary_metric_v1,whisper_sad,parler,Jenna,style_quality_trap,1,,sad,I am sorry. I did not know how much that moment meant to you.,experiments\boundary_metric_v1\generated\parler_boundary\whisper_sad.wav,0.00000000,0.00000000,1.000000,0.754031,4.972830,10.585962,0.779677,0.20652174,I'm sorry. I did not know how much that moment meant to you.,0.611394,0.000727,sad,1.0,1.0,1,1.0741321989954764e-07,2.6992486371058e-11,1.8543758542599598e-11,2.16720773271728e-11,2.9724334105196704e-10,1.229509383193772e-08,1.2929078641032987e-10,1.0,4.858659048007086e-12,3.441747234433912e-11,angry,0.9259982705116272,0.00072655820986256,0,0.21854885693387993,0.4025328755378723,0.5081126689910889,0.2915396988391876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boundary_metric_v1::neutral_text_angry_voice,boundary_metric_v1,neutral_text_angry_voice,parler,Jenna,lexical_voice_conflict,1,,angry,The package arrived at the front desk at three fifteen in the afternoon.,experiments\boundary_metric_v1\generated\parler_boundary\neutral_text_angry_voice.wav,0.08333333,0.02000000,1.000000,0.771837,4.444923,10.743631,0.957947,0.16300940,The package arrived at the front desk at 3.15 in the afternoon.,0.561007,0.002112,neutral,1.0,3.2726232834789926e-09,0,2.3133516797103092e-07,3.2726232834789926e-09,1.435189411758131e-09,1.8723816941346172e-10,1.1366484642394425e-08,1.0,4.098069439351093e-09,5.400585756376586e-09,5.056549623461137e-10,4.769917238967025e-10,neutral,0.8575776219367981,0.002112177200615406,0,0.308274822073229,0.3836219906806946,0.49496302008628845,0.5768622159957886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boundary_metric_v1::fast_tongue_twister,boundary_metric_v1,fast_tongue_twister,parler,Jenna,intelligibility_stress,1,,neutral,"She sells sea shells by the sea shore, then swiftly switches six slick scripts.",experiments\boundary_metric_v1\generated\parler_boundary\fast_tongue_twister.wav,0.50000000,0.16129032,1.000000,0.763100,4.395366,8.213978,0.920217,0.08943089,She sells seashells by the seashore then swiftly switches six six groups.,0.538139,0.598071,neutral,1.0,1.0,1,1.1520430543632045e-09,8.95521070493066e-12,6.962518669245688e-13,1.728136812253686e-13,1.0625573337863514e-11,1.0,4.715028890868618e-14,8.332624173990055e-11,2.613123259442851e-12,2.2210973837054337e-13,neutral,0.5980705618858337,0.5980705618858337,1,0.6696480898319014,0.4342404305934906,0.5284266471862793,0.5082218647003174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multisystem_generalization_v1::bark__boundary_acronyms,multisystem_generalization_v1,bark__boundary_acronyms,bark,v2/en_speaker_6,boundary,1,technical_acronyms,neutral,"The GPU API uses HTTPS, JSON, and UTF eight in the final SDK release.",experiments\multisystem_generalization_v1\generated\bark_speaker_6\boundary_acronyms.wav,0.00000000,0.00000000,1.000000,0.867451,6.712620,18.442419,1.197806,0.38929889,The GPU API uses HTTPS JSON and UTF-8 in the final SDK release.,0.999286,0.998164,neutral,1.0,1.0,1,2.5450519038760244e-12,3.1273049335691847e-14,9.546727295210744e-16,1.5083523326363192e-16,3.404350775891227e-14,1.0,2.15809423346725e-16,1.188130946709262e-13,1.641298452400089e-14,5.191059416698109e-16,neutral,0.9981638789176941,0.9981638789176941,1,0.010426747673832277,0.5313740372657776,0.6131420135498047,0.5493810772895813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multisystem_generalization_v1::bark__normal_02,multisystem_generalization_v1,bark__normal_02,bark,v2/en_speaker_6,regular,0,none,neutral,"The garden was quiet after the rain, and the air felt cool.",experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_02.wav,0.00000000,0.00000000,1.000000,0.777517,3.559144,4.999633,1.279638,0.45668317,The garden was quiet after the rain and the air felt cool.,0.999240,0.998047,disgusted,0.8275822401046753,0.0006710730376653373,0,0.2942438168413243,0.00012616846652235836,0.8275822401046753,0.002204357413575053,0.0011401422088965774,0.0006710730376653373,0.033843763172626495,0.03597958758473396,2.1710546207032166e-05,0.09843087941408157,neutral,0.9980469942092896,0.9980469942092896,1,0.010924037579815664,0.3730217218399048,0.4741877615451813,0.5734822154045105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multisystem_generalization_v1::parler__boundary_digits,multisystem_generalization_v1,parler__boundary_digits,parler,Jenna,boundary,1,digits_and_address,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",experiments\multisystem_generalization_v1\generated\parler_jenna\boundary_digits.wav,0.00000000,0.00000000,1.000000,0.660141,3.090809,7.900620,0.734957,0.14090020,The access code is a 17b9 and the address is 405 North Lake Drive.,0.975307,0.936503,neutral,1.0,1.0,1,2.929310513696578e-12,3.725408450152602e-14,1.5776140049750666e-15,2.3172942082525937e-16,4.776435052599587e-14,1.0,4.837805914232479e-16,1.1972600645268616e-13,2.461311726263335e-14,1.2887018663367022e-15,neutral,0.9365033507347107,0.9365033507347107,1,0.20532057080824426,0.41603705286979675,0.5086848735809326,0.6087808012962341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
