candidate,cost_tier,ingredients,pearson,spearman,mae,rmse,top3_overlap,top5_overlap,bottom5_overlap,notes,pearson_ci90,spearman_ci90
fixed_delivery_surrogate_v1,low_dsp,0.36*target_style_fit_v1+0.22*prosody_fit_light+0.16*pause_naturalness+0.14*spectral_balance_fit+0.12*articulation_risk_inverse,0.647887,0.540513,0.176409,0.194645,0.333333,0.400000,0.600000,hand-weighted low-DSP delivery metric,"[0.383,0.841]","[0.202,0.764]"
fixed_main_shape_proxy_v1,low_dsp,0.38*delivery_fit_v1+0.18*text_ease+0.16*rate_fit+0.14*voice_presence_fit+0.14*signal_quality,0.605724,0.457778,0.129519,0.156219,0.000000,0.200000,0.600000,hand-weighted main-shape approximation without ASR/SER,"[0.313,0.800]","[0.087,0.712]"
pause_naturalness,low_dsp,silence ratio + pause count + active ratio,0.408562,0.433846,0.180176,0.213064,0.000000,0.200000,0.600000,,"[0.056,0.669]","[0.086,0.674]"
target_style_fit_v1,low_dsp,emotion target + f0/rate/energy/pause,0.392667,0.405812,0.232680,0.262302,0.000000,0.400000,0.600000,,"[0.070,0.642]","[0.049,0.629]"
intelligibility_component_0_1,high_reference,ASR/WER-derived component only,0.504024,0.397782,0.162513,0.212938,0.333333,0.400000,0.400000,,"[0.089,0.713]","[0.078,0.683]"
lodo_emotion_dsp_text,low_dsp,target_style_fit_v1+emotion_arousal_fit_v1+prosody_fit_light+rate_fit+text_ease,0.448080,0.288913,0.115474,0.168649,0.333333,0.200000,0.600000,leave-one-dataset-out,"[0.089,0.762]","[-0.115,0.640]"
lodo_delivery_low_dsp,low_dsp,target_style_fit_v1+prosody_fit_light+pause_naturalness+spectral_balance_fit+articulation_risk_inverse,0.437618,0.267809,0.109187,0.170318,0.333333,0.200000,0.600000,leave-one-dataset-out,"[0.084,0.766]","[-0.147,0.648]"
ridge_expanded_low_dsp_loo,low_dsp,text_ease+rate_fit+duration_sec+speech_rate_wps+signal_quality+silence_ratio+energy_cv+f0_std_hz+f0_range_hz+voiced_ratio+zcr+spectral_flatness+spectral_centroid_hz+high_freq_ratio+prosody_fit_light+prosody_activity_light+target_style_fit_v1+emotion_arousal_fit_v1+pause_naturalness+envelope_stability+dynamic_range_fit+spectral_balance_fit+voice_presence_fit+articulation_risk_inverse+delivery_fit_v1,0.312577,0.190396,0.183471,0.212959,0.000000,0.000000,0.600000,LOOCV ridge,"[-0.036,0.556]","[-0.198,0.501]"
spectral_balance_fit,low_dsp,centroid + high-frequency balance,0.345739,0.135726,0.225412,0.270999,0.000000,0.000000,0.600000,,"[-0.125,0.614]","[-0.235,0.482]"
text_ease,very_low,text difficulty only,0.367983,0.078380,0.185112,0.228788,0.000000,0.200000,0.400000,,"[-0.284,0.609]","[-0.342,0.452]"
rate_fit,very_low,text + duration speech-rate fit,0.157640,0.064151,0.426341,0.516616,0.000000,0.200000,0.200000,,"[-0.200,0.445]","[-0.317,0.429]"
signal_quality,low_dsp,existing signal-quality proxy,-0.079198,0.040000,0.218175,0.267549,0.333333,0.400000,0.000000,,"[-0.192,-0.022]","[-0.077,0.174]"
articulation_risk_inverse,very_low,text difficulty + rate + zcr/high-frequency risk,0.384493,-0.078479,0.176767,0.222257,0.000000,0.400000,0.400000,,"[-0.356,0.635]","[-0.510,0.311]"
