sample_key,dataset,id,tts_system,voice,case_type,is_boundary,boundary_type,target_emotion,text,audio_path,wer,cer,acoustic_sanity_score_0_1,prosody_activity_0_1,f0_std_semitones,f0_range_semitones_p90_p10,energy_cv,silence_ratio,asr_transcript,main_metric_0_1,emotion_component_0_1
boundary_metric_v1::digits_address,boundary_metric_v1,digits_address,parler,Jenna,asr_normalization,1,,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",experiments\boundary_metric_v1\generated\parler_boundary\digits_address.wav,0.00000000,0.00000000,1.000000,0.736143,4.444855,11.093388,0.781618,0.16007533,The access code is a 17B9 and the address is 405 North Lake Drive.,0.968857,0.919919
boundary_metric_v1::angry_text_neutral_voice,boundary_metric_v1,angry_text_neutral_voice,parler,Jenna,lexical_voice_conflict,1,,neutral,"I told you this was unacceptable, and I am extremely frustrated.",experiments\boundary_metric_v1\generated\parler_boundary\angry_text_neutral_voice.wav,0.00000000,0.00000000,1.000000,0.792187,5.950917,12.156674,0.831952,0.12051282,I told you this was unacceptable and I am extremely frustrated.,0.905351,0.756618
boundary_metric_v1::robotic_monotone,boundary_metric_v1,robotic_monotone,parler,Jenna,acoustic_quality_trap,1,,neutral,The system completed the update and stored the final log in the archive.,experiments\boundary_metric_v1\generated\parler_boundary\robotic_monotone.wav,0.07692308,0.08474576,1.000000,0.744345,4.706292,7.633684,0.776099,0.15508021,The system completed the OP and stored the final log in the archive.,0.895373,0.851837
boundary_metric_v1::distant_reverb_neutral,boundary_metric_v1,distant_reverb_neutral,parler,Jenna,acoustic_quality_trap,1,,neutral,"Please open the settings menu, choose account preferences, and confirm the update.",experiments\boundary_metric_v1\generated\parler_boundary\distant_reverb_neutral.wav,0.08333333,0.07352941,0.998939,0.721494,3.526913,7.100638,0.905291,0.20851064,"Please open the settings menu, choose account preferences, and confirm the line.",0.883759,0.832046
boundary_metric_v1::control_neutral_neutral,boundary_metric_v1,control_neutral_neutral,parler,Jenna,control,0,,neutral,"The meeting starts at nine thirty, and the report is saved in the project folder.",experiments\boundary_metric_v1\generated\parler_boundary\control_neutral_neutral.wav,0.07142857,0.01724138,1.000000,0.766453,4.752899,11.293276,0.870611,0.20135747,The meeting starts at 9.30 and the report is saved in the project folder.,0.876718,0.795235
boundary_metric_v1::noisy_neutral,boundary_metric_v1,noisy_neutral,parler,Jenna,acoustic_quality_trap,1,,neutral,The package arrived at the front desk at three fifteen in the afternoon.,experiments\boundary_metric_v1\generated\parler_boundary\noisy_neutral.wav,0.08333333,0.02000000,1.000000,0.733051,4.410404,10.082635,0.773965,0.13623978,The package arrived at the front desk at 3.15 in the afternoon.,0.868780,0.793530
boundary_metric_v1::homophones_minimal_pairs,boundary_metric_v1,homophones_minimal_pairs,parler,Jenna,asr_normalization,1,,neutral,"Please write the right word, then read the red label and lead the team forward.",experiments\boundary_metric_v1\generated\parler_boundary\homophones_minimal_pairs.wav,0.06666667,0.03174603,1.000000,0.662124,3.301071,8.949798,0.695518,0.15659341,Please write the right word then read the red label and leave the team forward.,0.861525,0.748683
boundary_metric_v1::exaggerated_happy,boundary_metric_v1,exaggerated_happy,parler,Jenna,style_quality_trap,1,,happy,"That was amazing, wonderful, and unbelievably exciting for everyone here.",experiments\boundary_metric_v1\generated\parler_boundary\exaggerated_happy.wav,0.00000000,0.00000000,1.000000,0.651866,2.926546,5.136930,0.742115,0.12010444,"That was amazing, wonderful, and unbelievably exciting for everyone here.",0.803876,0.495681
boundary_metric_v1::control_angry_angry,boundary_metric_v1,control_angry_angry,parler,Jenna,control,0,,angry,"This delay is unacceptable, and I need you to fix the problem right now.",experiments\boundary_metric_v1\generated\parler_boundary\control_angry_angry.wav,0.00000000,0.00000000,1.000000,0.788443,4.785176,9.067246,0.983540,0.21000000,This delay is unacceptable and I need you to fix the problem right now.,0.747609,0.350994
boundary_metric_v1::technical_acronyms,boundary_metric_v1,technical_acronyms,parler,Jenna,asr_normalization,1,,neutral,"The GPU loads JSON from SQL, then sends HTTPS requests to the API.",experiments\boundary_metric_v1\generated\parler_boundary\technical_acronyms.wav,0.38461538,0.51923077,1.000000,0.724991,3.970996,10.175963,0.818530,0.12149533,"the pocha loads jump from dropping, then sends twice requests to the charter.",0.720737,0.886291
boundary_metric_v1::control_happy_happy,boundary_metric_v1,control_happy_happy,parler,Jenna,control,0,,happy,"I just got the best news today, and I cannot stop smiling.",experiments\boundary_metric_v1\generated\parler_boundary\control_happy_happy.wav,0.00000000,0.00000000,1.000000,0.785590,5.161832,11.461749,0.901445,0.24338624,I just got the best news today and I cannot stop smiling.,0.651544,0.103971
boundary_metric_v1::happy_text_sad_voice,boundary_metric_v1,happy_text_sad_voice,parler,Jenna,lexical_voice_conflict,1,,sad,"This is wonderful news, and everyone should be smiling today.",experiments\boundary_metric_v1\generated\parler_boundary\happy_text_sad_voice.wav,0.00000000,0.00000000,1.000000,0.747598,4.069354,9.202975,0.908329,0.17401961,This is wonderful news and everyone should be smiling today.,0.618956,0.020172
boundary_metric_v1::control_sad_sad,boundary_metric_v1,control_sad_sad,parler,Jenna,control,0,,sad,"I miss the quiet mornings we used to share, and the room feels empty now.",experiments\boundary_metric_v1\generated\parler_boundary\control_sad_sad.wav,0.00000000,0.00000000,1.000000,0.783611,4.953484,10.337762,0.925057,0.19829424,I miss the quiet mornings we used to share and the room feels empty now.,0.612101,0.002545
boundary_metric_v1::whisper_sad,boundary_metric_v1,whisper_sad,parler,Jenna,style_quality_trap,1,,sad,I am sorry. I did not know how much that moment meant to you.,experiments\boundary_metric_v1\generated\parler_boundary\whisper_sad.wav,0.00000000,0.00000000,1.000000,0.754031,4.972830,10.585962,0.779677,0.20652174,I'm sorry. I did not know how much that moment meant to you.,0.611394,0.000727
boundary_metric_v1::neutral_text_angry_voice,boundary_metric_v1,neutral_text_angry_voice,parler,Jenna,lexical_voice_conflict,1,,angry,The package arrived at the front desk at three fifteen in the afternoon.,experiments\boundary_metric_v1\generated\parler_boundary\neutral_text_angry_voice.wav,0.08333333,0.02000000,1.000000,0.771837,4.444923,10.743631,0.957947,0.16300940,The package arrived at the front desk at 3.15 in the afternoon.,0.561007,0.002112
boundary_metric_v1::fast_tongue_twister,boundary_metric_v1,fast_tongue_twister,parler,Jenna,intelligibility_stress,1,,neutral,"She sells sea shells by the sea shore, then swiftly switches six slick scripts.",experiments\boundary_metric_v1\generated\parler_boundary\fast_tongue_twister.wav,0.50000000,0.16129032,1.000000,0.763100,4.395366,8.213978,0.920217,0.08943089,She sells seashells by the seashore then swiftly switches six six groups.,0.538139,0.598071
multisystem_generalization_v1::bark__boundary_acronyms,multisystem_generalization_v1,bark__boundary_acronyms,bark,v2/en_speaker_6,boundary,1,technical_acronyms,neutral,"The GPU API uses HTTPS, JSON, and UTF eight in the final SDK release.",experiments\multisystem_generalization_v1\generated\bark_speaker_6\boundary_acronyms.wav,0.00000000,0.00000000,1.000000,0.867451,6.712620,18.442419,1.197806,0.38929889,The GPU API uses HTTPS JSON and UTF-8 in the final SDK release.,0.999286,0.998164
multisystem_generalization_v1::bark__normal_02,multisystem_generalization_v1,bark__normal_02,bark,v2/en_speaker_6,regular,0,none,neutral,"The garden was quiet after the rain, and the air felt cool.",experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_02.wav,0.00000000,0.00000000,1.000000,0.777517,3.559144,4.999633,1.279638,0.45668317,The garden was quiet after the rain and the air felt cool.,0.999240,0.998047
multisystem_generalization_v1::parler__boundary_digits,multisystem_generalization_v1,parler__boundary_digits,parler,Jenna,boundary,1,digits_and_address,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",experiments\multisystem_generalization_v1\generated\parler_jenna\boundary_digits.wav,0.00000000,0.00000000,1.000000,0.660141,3.090809,7.900620,0.734957,0.14090020,The access code is a 17b9 and the address is 405 North Lake Drive.,0.975307,0.936503
multisystem_generalization_v1::bark__normal_03,multisystem_generalization_v1,bark__normal_03,bark,v2/en_speaker_6,regular,0,none,neutral,I left the blue notebook beside the lamp in the study.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_03.wav,0.00000000,0.00000000,1.000000,0.769735,4.927006,10.249800,0.858321,0.23121387,I left the blue notebook beside the lamp in the study.,0.942853,0.853051
multisystem_generalization_v1::bark__boundary_digits,multisystem_generalization_v1,bark__boundary_digits,bark,v2/en_speaker_6,boundary,1,digits_and_address,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",experiments\multisystem_generalization_v1\generated\bark_speaker_6\boundary_digits.wav,0.12500000,0.00000000,1.000000,0.801795,4.804259,12.103978,1.063258,0.36912156,the access code is a 17b9 and the address is 405 Northlake Drive.,0.917403,0.984037
multisystem_generalization_v1::sapi__normal_02,multisystem_generalization_v1,sapi__normal_02,sapi,Microsoft Zira Desktop,regular,0,none,neutral,"The garden was quiet after the rain, and the air felt cool.",experiments\multisystem_generalization_v1\generated\sapi_zira\normal_02.wav,0.00000000,0.00000000,1.000000,0.674410,2.475276,6.988511,1.005243,0.37914692,"The garden was quiet after the rain, and the air felt cool.",0.910061,0.768729
multisystem_generalization_v1::parler__normal_02,multisystem_generalization_v1,parler__normal_02,parler,Jenna,regular,0,none,neutral,"The garden was quiet after the rain, and the air felt cool.",experiments\multisystem_generalization_v1\generated\parler_jenna\normal_02.wav,0.00000000,0.00000000,1.000000,0.699519,4.184969,9.265045,0.676603,0.10271903,The garden was quiet after the rain and the air felt cool.,0.898731,0.739594
multisystem_generalization_v1::bark__boundary_tongue_twister,multisystem_generalization_v1,bark__boundary_tongue_twister,bark,v2/en_speaker_6,boundary,1,fast_tongue_twister,neutral,"Red leather, yellow leather, unique New York, repeated twice without rushing.",experiments\multisystem_generalization_v1\generated\bark_speaker_6\boundary_tongue_twister.wav,0.18181818,0.07936508,0.920659,0.837990,4.670039,11.604381,1.416172,0.54713115,Red leather Yellow leather Unite New York Repeated twice without Russian,0.886819,0.994678
multisystem_generalization_v1::parler__normal_03,multisystem_generalization_v1,parler__normal_03,parler,Jenna,regular,0,none,neutral,I left the blue notebook beside the lamp in the study.,experiments\multisystem_generalization_v1\generated\parler_jenna\normal_03.wav,0.00000000,0.00000000,1.000000,0.701526,3.432724,8.164143,0.830960,0.13492063,I left the blue notebook beside the lamp in the study.,0.881283,0.694727
multisystem_generalization_v1::bark__normal_01,multisystem_generalization_v1,bark__normal_01,bark,v2/en_speaker_6,regular,0,none,neutral,Please send the final report before the meeting starts tomorrow.,experiments\multisystem_generalization_v1\generated\bark_speaker_6\normal_01.wav,0.20000000,0.18518519,1.000000,0.812187,4.984704,11.738290,1.094057,0.40469613,the final report before the meeting starts tomorrow.,0.856106,0.944272
multisystem_generalization_v1::sapi__boundary_acronyms,multisystem_generalization_v1,sapi__boundary_acronyms,sapi,Microsoft Zira Desktop,boundary,1,technical_acronyms,neutral,"The GPU API uses HTTPS, JSON, and UTF eight in the final SDK release.",experiments\multisystem_generalization_v1\generated\sapi_zira\boundary_acronyms.wav,0.14285714,0.02040816,1.000000,0.651769,2.813005,6.119268,0.772002,0.21900826,"The GPU API uses HD TPS, JSON, and UTF-8 in the final SDK release.",0.841336,0.816497
multisystem_generalization_v1::sapi__boundary_digits,multisystem_generalization_v1,sapi__boundary_digits,sapi,Microsoft Zira Desktop,boundary,1,digits_and_address,neutral,"The access code is A seventeen B nine, and the address is four zero five North Lake Drive.",experiments\multisystem_generalization_v1\generated\sapi_zira\boundary_digits.wav,0.00000000,0.00000000,1.000000,0.619814,2.189556,4.947974,0.831172,0.26194145,"The access code is a 17b9, and the address is 405 North Lake Drive.",0.839338,0.586868
multisystem_generalization_v1::parler__normal_01,multisystem_generalization_v1,parler__normal_01,parler,Jenna,regular,0,none,neutral,Please send the final report before the meeting starts tomorrow.,experiments\multisystem_generalization_v1\generated\parler_jenna\normal_01.wav,0.00000000,0.00000000,1.000000,0.752040,4.589245,10.470542,0.828984,0.11695906,Please send the final report before the meeting starts tomorrow.,0.776427,0.425097
multisystem_generalization_v1::sapi__normal_03,multisystem_generalization_v1,sapi__normal_03,sapi,Microsoft Zira Desktop,regular,0,none,neutral,I left the blue notebook beside the lamp in the study.,experiments\multisystem_generalization_v1\generated\sapi_zira\normal_03.wav,0.00000000,0.00000000,1.000000,0.645481,2.274676,5.989221,0.926163,0.35446686,I left the blue notebook beside the lamp in the study.,0.745635,0.345919
multisystem_generalization_v1::sapi__boundary_tongue_twister,multisystem_generalization_v1,sapi__boundary_tongue_twister,sapi,Microsoft Zira Desktop,boundary,1,fast_tongue_twister,neutral,"Red leather, yellow leather, unique New York, repeated twice without rushing.",experiments\multisystem_generalization_v1\generated\sapi_zira\boundary_tongue_twister.wav,0.00000000,0.00000000,1.000000,0.687532,2.576735,6.774684,1.041880,0.40000000,Red leather Yellow leather Unique New York Repeated twice without rushing,0.718570,0.276323
multisystem_generalization_v1::sapi__normal_01,multisystem_generalization_v1,sapi__normal_01,sapi,Microsoft Zira Desktop,regular,0,none,neutral,Please send the final report before the meeting starts tomorrow.,experiments\multisystem_generalization_v1\generated\sapi_zira\normal_01.wav,0.00000000,0.00000000,1.000000,0.677561,2.814420,6.935713,0.891997,0.31000000,Please send the final report before the meeting starts tomorrow.,0.713312,0.262801
multisystem_generalization_v1::parler__boundary_tongue_twister,multisystem_generalization_v1,parler__boundary_tongue_twister,parler,Jenna,boundary,1,fast_tongue_twister,neutral,"Red leather, yellow leather, unique New York, repeated twice without rushing.",experiments\multisystem_generalization_v1\generated\parler_jenna\boundary_tongue_twister.wav,0.18181818,0.06349206,0.998833,0.766458,4.333938,8.411240,0.951753,0.23185012,"Redlar, yellow leather, unique New York, repeated twice without rushing",0.558023,0.149201
multisystem_generalization_v1::parler__boundary_acronyms,multisystem_generalization_v1,parler__boundary_acronyms,parler,Jenna,boundary,1,technical_acronyms,neutral,"The GPU API uses HTTPS, JSON, and UTF eight in the final SDK release.",experiments\multisystem_generalization_v1\generated\parler_jenna\boundary_acronyms.wav,0.50000000,0.57142857,1.000000,0.727245,3.806382,9.982527,0.864839,0.15830721,"The 4-Shivroa uses Arca, Zinn and Yuzhil 8 in the final Cobo Kuiq release",0.434918,0.332647
